date,n_components,weighted_mean,weighted_median,pearson_skew,bowley_skew,boc_trim,boc_median,boc_spread
2001-11-01,59,1.6476778159718677,2.8519459470320148,0.6508326764321826,-0.617430616794937,1.9,2.0,-0.10000000000000009
2001-12-01,59,1.832697469941031,2.8041078791950875,-0.04029046399198866,-0.6000356166627724,1.9,2.0,-0.10000000000000009
2002-01-01,59,2.07006787915591,2.8005978303903625,0.04598938893465156,-0.5385081923194723,2.0,2.1,-0.10000000000000009
2002-02-01,59,2.1121102966137983,2.810407590838104,0.6458277371022102,-0.5126169510392535,2.0,2.0,0.0
2002-03-01,59,2.3528272393676786,2.9100594004928197,0.848456286224163,-0.4606154434622957,2.0,2.0,0.0
2002-04-01,59,2.2944372049465436,3.137215142408851,-0.716369677570193,-0.6696841851039592,2.1,2.0,0.10000000000000009
2002-05-01,59,1.8812261612391208,2.6052020417464874,-1.7084141041116834,-0.4640746677148076,2.0,2.0,0.0
2002-06-01,59,2.0942775322042704,2.557744330904052,-0.6724263633718867,-0.1925049616836163,1.9,2.1,-0.20000000000000018
2002-07-01,59,2.309718327523904,1.7836128563411575,1.2241462242310124,0.137146378088085,1.9,2.0,-0.10000000000000009
2002-08-01,59,2.4035856057001843,2.055144698238415,1.2793352962472588,-0.08016515287645033,2.1,2.2,-0.10000000000000009
2002-09-01,59,2.649834901147647,2.083559179987543,2.197953636165676,-0.04559595800399841,2.1,2.2,-0.10000000000000009
2002-10-01,59,2.8708732464645066,2.028112046099077,4.288206088737894,0.0017105738474671023,2.1,2.1,0.0
2002-11-01,59,3.693695074210351,2.56850848486519,3.2085141546940164,0.1402265537324534,2.3,2.2,0.09999999999999964
2002-12-01,59,3.1499785858476343,2.2017986779231515,3.05535183913435,0.09002406823635849,2.2,2.2,0.0
2003-01-01,59,3.5780067353767664,2.673585850306821,2.98693506848666,-0.1299011864163494,2.2,2.2,0.0
2003-02-01,59,3.524638431453874,2.617748483689002,3.3787683045269277,0.011241362921889719,2.3,2.4,-0.10000000000000009
2003-03-01,59,3.6201159952175415,2.8312944617304727,3.709741775590656,-0.29236757307697225,2.2,2.4,-0.19999999999999973
2003-04-01,59,2.885188032930722,2.3140714176891866,3.280613171210647,-0.17136605102130775,2.0,2.2,-0.20000000000000018
2003-05-01,59,2.3791652617122887,2.360139807958205,2.759477798681271,-0.2225206492563929,1.9,2.2,-0.30000000000000027
2003-06-01,59,2.235622310650512,2.6407021119303122,4.013392468449745,-0.5465511764235805,1.9,2.0,-0.10000000000000009
2003-07-01,59,1.7981313702695376,2.241752733368158,4.511915914249084,-0.3687353619280809,1.8,2.1,-0.30000000000000004
2003-08-01,59,1.6558317283226742,2.327562189054731,4.226555501194813,-0.41889959558177065,1.7,2.0,-0.30000000000000004
2003-09-01,59,1.706684104117344,2.1205525475296065,4.037648671942097,-0.3295159849828688,1.8,1.9,-0.09999999999999987
2003-10-01,59,1.3786469181740335,2.296332007952283,-0.018590802698703713,-0.2938486716430487,1.7,2.0,-0.30000000000000004
2003-11-01,59,1.2540853698560839,1.9069351036275803,0.77043554225218,-0.2682170710854747,1.7,1.9,-0.19999999999999996
2003-12-01,59,1.5843467175029862,1.8431647120602226,0.9602452544281161,-0.3069851525279847,1.7,2.0,-0.30000000000000004
2004-01-01,59,0.8324808772223877,1.7187993626757856,-0.4144149060489633,-0.2812223299735839,1.7,1.8,-0.10000000000000009
2004-02-01,59,0.5762503376967526,1.3594297889306104,-0.6224703532390378,-0.224474046279526,1.6,1.6,0.0
