date,cad_2y,overnight,spread_pp,abs_spread_bp
2004-04-01,2.45,2.0,0.4500000000000002,45.000000000000014
2004-05-01,2.67,2.0,0.6699999999999999,67.0
2004-06-01,3.12,2.0,1.12,112.00000000000001
2004-07-01,3.12,2.0,1.12,112.00000000000001
2004-08-01,3.07,2.0,1.0699999999999998,106.99999999999999
2004-09-01,2.95,2.25,0.7000000000000002,70.00000000000001
2004-10-01,3.31,2.5,0.81,81.0
2004-11-01,3.26,2.5,0.7599999999999998,75.99999999999997
2004-12-01,3.0,2.5,0.5,50.0
2005-01-01,3.05,2.5,0.5499999999999998,54.999999999999986
2005-02-01,2.91,2.5,0.41000000000000014,41.000000000000014
2005-03-01,2.93,2.5,0.43000000000000016,43.000000000000014
2005-04-01,3.24,2.5,0.7400000000000002,74.00000000000003
2005-05-01,3.06,2.5,0.56,56.00000000000001
2005-06-01,2.78,2.5,0.2799999999999998,27.99999999999998
2005-07-01,2.97,2.5,0.4700000000000002,47.00000000000002
2005-08-01,3.08,2.5,0.5800000000000001,58.00000000000001
2005-09-01,2.85,2.75,0.10000000000000009,10.000000000000009
2005-10-01,3.36,3.0,0.3599999999999999,35.999999999999986
2005-11-01,3.65,3.0,0.6499999999999999,64.99999999999999
2005-12-01,3.76,3.25,0.5099999999999998,50.99999999999998
2006-01-01,3.81,3.5,0.31000000000000005,31.000000000000007
2006-02-01,3.89,3.5,0.3900000000000001,39.000000000000014
2006-03-01,3.95,3.75,0.20000000000000018,20.000000000000018
2006-04-01,4.02,4.0,0.019999999999999574,1.9999999999999574
2006-05-01,4.17,4.25,-0.08000000000000007,8.000000000000007
2006-06-01,4.15,4.25,-0.09999999999999964,9.999999999999964
2006-07-01,4.42,4.25,0.16999999999999993,16.999999999999993
2006-08-01,4.11,4.25,-0.13999999999999968,13.999999999999968
2006-09-01,3.94,4.25,-0.31000000000000005,31.000000000000007
2006-10-01,3.89,4.25,-0.3599999999999999,35.999999999999986
2006-11-01,3.91,4.25,-0.33999999999999986,33.999999999999986
2006-12-01,3.79,4.25,-0.45999999999999996,46.0
2007-01-01,3.99,4.25,-0.2599999999999998,25.99999999999998
2007-02-01,4.13,4.25,-0.1200000000000001,12.00000000000001
2007-03-01,3.96,4.25,-0.29000000000000004,29.000000000000004
2007-04-01,3.98,4.25,-0.27,27.0
2007-05-01,4.15,4.25,-0.09999999999999964,9.999999999999964
2007-06-01,4.6,4.25,0.34999999999999964,34.999999999999964
2007-07-01,4.59,4.5,0.08999999999999986,8.999999999999986
