date,headline_yoy,headline_mom,cpi_trim,cpi_median,cpi_common,cpix,cpixfet,core_band_width,core_avg,headline_minus_core,abs_dev_from_target,abs_mom_dev
2001-12-01,0.7216494845360799,0.30800821355236874,1.9,2.0,2.4,1.7,1.2,1.2,1.8399999999999999,-1.11835051546392,1.27835051546392,0.14280821355236872
2002-01-01,1.342975206611574,0.4094165813715467,2.0,2.1,2.3,1.9,1.3,0.9999999999999998,1.92,-0.5770247933884258,0.6570247933884259,0.24421658137154667
2002-02-01,1.5479876160990669,0.3058103975535298,2.0,2.0,2.4,2.3,1.4,1.0,2.02,-0.47201238390093314,0.4520123839009331,0.14061039755352978
2002-03-01,1.750772399588052,0.40650406504063596,2.0,2.0,2.3,2.2,1.7,0.5999999999999999,2.04,-0.28922760041194806,0.24922760041194802,0.24130406504063595
2002-04-01,1.7382413087934534,0.7085020242914908,2.1,2.0,2.4,2.3,1.9,0.5,2.14,-0.4017586912065467,0.2617586912065466,0.5433020242914908
2002-05-01,1.0162601626016343,-0.10050251256280562,2.0,2.0,2.2,2.1,2.0,0.20000000000000018,2.06,-1.0437398373983657,0.9837398373983657,0.26570251256280564
2002-06-01,1.21951219512193,0.2012072434607548,1.9,2.1,2.2,2.1,2.1,0.30000000000000027,2.08,-0.86048780487807,0.7804878048780699,0.03600724346075479
2002-07-01,2.2426095820591296,0.7028112449799284,1.9,2.0,2.2,2.0,2.1,0.30000000000000027,2.04,0.2026095820591296,0.24260958205912964,0.5376112449799284
2002-08-01,2.5458248472504996,0.3988035892322994,2.1,2.2,2.3,2.4,2.3,0.2999999999999998,2.2600000000000002,0.2858248472504994,0.5458248472504996,0.2336035892322994
2002-09-01,2.4390243902439046,0.09930486593843213,2.1,2.2,2.1,2.5,2.2,0.3999999999999999,2.22,0.2190243902439044,0.4390243902439046,0.06589513406156788
2002-10-01,3.2619775739041845,0.49603174603174427,2.1,2.1,2.0,2.5,2.5,0.5,2.2399999999999998,1.0219775739041848,1.2619775739041845,0.33083174603174426
2002-11-01,4.312114989733051,0.29615004935834577,2.3,2.2,2.3,3.2,3.1,1.0,2.62,1.6921149897330512,2.3121149897330513,0.13095004935834575
